,Residuals
2021-04-30,1.9018694150279276
2021-05-03,1.90707310677739
2021-05-04,1.8944959345433543
2021-05-05,1.9135175151194508
2021-05-06,1.9135796579955189
2021-05-07,1.9294251894129335
2021-05-10,1.9229611006584872
2021-05-11,1.9296378631166293
2021-05-12,1.899256684913703
2021-05-13,1.9128464826317941
2021-05-14,1.921709246674828
2021-05-17,1.927520374123711
2021-05-18,1.9244041397344835
2021-05-19,1.9198982378568301
2021-05-20,1.9200426872845697
2021-05-21,1.9184377338994838
2021-05-24,1.9297498604507757
2021-05-25,1.9177776815106524
2021-05-26,1.926571907770808
2021-05-27,1.92724097479336
2021-05-28,1.934872286116823
2021-05-31,1.936438927947357
2021-06-01,1.9494313639396337
2021-06-02,1.9537957588915704
2021-06-04,1.9522837299946207
2021-06-07,1.9532964055892208
2021-06-08,1.941956679710172
2021-06-09,1.9425888915277998
2021-06-10,1.9426448092129798
2021-06-11,1.936321715901145
2021-06-14,1.9424290525474222
2021-06-15,1.9394993326762844
2021-06-16,1.9321830538957707
2021-06-17,1.923715273571566
2021-06-18,1.9287903751871296
2021-06-21,1.9353448148257675
2021-06-22,1.929615823567885
2021-06-23,1.9271646431426257
2021-06-24,1.9360528084322333
2021-06-25,1.9162021205474762
2021-06-28,1.9212347625808333
2021-06-29,1.9210997609361327
2021-06-30,1.9174711215044118
2021-07-01,1.9097582631290653
2021-07-02,1.9280347085873961
2021-07-05,1.9195268543545465
2021-07-06,1.9055995983981031
2021-07-07,1.9247333648389677
2021-07-08,1.9094580407965331
2021-07-12,1.9291681619669028
2021-07-13,1.9299576289199418
2021-07-14,1.9293975962350771
2021-07-15,1.9204273845033395
2021-07-16,1.9095416382205181
2021-07-19,1.9002291196836207
